%time,field.clock
121376000000,121374000000
121376000000,121375000000
121376000000,121376000000
121377000000,121377000000
121378000000,121378000000
121379000000,121379000000
121380000000,121380000000
121381000000,121381000000
121382000000,121382000000
121383000000,121383000000
121384000000,121384000000
121385000000,121385000000
121386000000,121386000000
121387000000,121387000000
121388000000,121388000000
121389000000,121389000000
121390000000,121390000000
121391000000,121391000000
121392000000,121392000000
121393000000,121393000000
121394000000,121394000000
121395000000,121395000000
121396000000,121396000000
121397000000,121397000000
121398000000,121398000000
121399000000,121399000000
121400000000,121400000000
121401000000,121401000000
121402000000,121402000000
121403000000,121403000000
121404000000,121404000000
121405000000,121405000000
121406000000,121406000000
121407000000,121407000000
121408000000,121408000000
121409000000,121409000000
121410000000,121410000000
121411000000,121411000000
121412000000,121412000000
121413000000,121413000000
121414000000,121414000000
121415000000,121415000000
121416000000,121416000000
121417000000,121417000000
121418000000,121418000000
121419000000,121419000000
121420000000,121420000000
121421000000,121421000000
121422000000,121422000000
121423000000,121423000000
121424000000,121424000000
121425000000,121425000000
121426000000,121426000000
121427000000,121427000000
121428000000,121428000000
121429000000,121429000000
121430000000,121430000000
121431000000,121431000000
121432000000,121432000000
121433000000,121433000000
121434000000,121434000000
121435000000,121435000000
121436000000,121436000000
121437000000,121437000000
121438000000,121438000000
121439000000,121439000000
121440000000,121440000000
121441000000,121441000000
121442000000,121442000000
121443000000,121443000000
121444000000,121444000000
121445000000,121445000000
121446000000,121446000000
121447000000,121447000000
121448000000,121448000000
121449000000,121449000000
121450000000,121450000000
121451000000,121451000000
121452000000,121452000000
121453000000,121453000000
121454000000,121454000000
121455000000,121455000000
121456000000,121456000000
121457000000,121457000000
121458000000,121458000000
121459000000,121459000000
121460000000,121460000000
121461000000,121461000000
121462000000,121462000000
121463000000,121463000000
121464000000,121464000000
121465000000,121465000000
121466000000,121466000000
121467000000,121467000000
121468000000,121468000000
121469000000,121469000000
121470000000,121470000000
121471000000,121471000000
121472000000,121472000000
121473000000,121473000000
121474000000,121474000000
121475000000,121475000000
121476000000,121476000000
121477000000,121477000000
121478000000,121478000000
121479000000,121479000000
121480000000,121480000000
121481000000,121481000000
121482000000,121482000000
121483000000,121483000000
121484000000,121484000000
121485000000,121485000000
121486000000,121486000000
121487000000,121487000000
121488000000,121488000000
121489000000,121489000000
121490000000,121490000000
121491000000,121491000000
121492000000,121492000000
121493000000,121493000000
121494000000,121494000000
121495000000,121495000000
121496000000,121496000000
121497000000,121497000000
121498000000,121498000000
121499000000,121499000000
121500000000,121500000000
121500000000,121501000000
121502000000,121502000000
121503000000,121503000000
121504000000,121504000000
121505000000,121505000000
121506000000,121506000000
121507000000,121507000000
121508000000,121508000000
121509000000,121509000000
121510000000,121510000000
121511000000,121511000000
121512000000,121512000000
121513000000,121513000000
121514000000,121514000000
121515000000,121515000000
121516000000,121516000000
121517000000,121517000000
121518000000,121518000000
121519000000,121519000000
121520000000,121520000000
121521000000,121521000000
121522000000,121522000000
121523000000,121523000000
121524000000,121524000000
121525000000,121525000000
121526000000,121526000000
121527000000,121527000000
121528000000,121528000000
121529000000,121529000000
121530000000,121530000000
121531000000,121531000000
121532000000,121532000000
121533000000,121533000000
121534000000,121534000000
121535000000,121535000000
121536000000,121536000000
121537000000,121537000000
121538000000,121538000000
121539000000,121539000000
121540000000,121540000000
121541000000,121541000000
121542000000,121542000000
121543000000,121543000000
121544000000,121544000000
121545000000,121545000000
121546000000,121546000000
121547000000,121547000000
121548000000,121548000000
121549000000,121549000000
121550000000,121550000000
121551000000,121551000000
121552000000,121552000000
121553000000,121553000000
121554000000,121554000000
121555000000,121555000000
121556000000,121556000000
121557000000,121557000000
121558000000,121558000000
121559000000,121559000000
121560000000,121560000000
121561000000,121561000000
121562000000,121562000000
121563000000,121563000000
121564000000,121564000000
121565000000,121565000000
121566000000,121566000000
121567000000,121567000000
121568000000,121568000000
121568000000,121569000000
121570000000,121570000000
121571000000,121571000000
121572000000,121572000000
121572000000,121573000000
121574000000,121574000000
121575000000,121575000000
121576000000,121576000000
121577000000,121577000000
121578000000,121578000000
121579000000,121579000000
121580000000,121580000000
121581000000,121581000000
121582000000,121582000000
121583000000,121583000000
121584000000,121584000000
121585000000,121585000000
121586000000,121586000000
121587000000,121587000000
121588000000,121588000000
121589000000,121589000000
121590000000,121590000000
121591000000,121591000000
121592000000,121592000000
121593000000,121593000000
121594000000,121594000000
121595000000,121595000000
121596000000,121596000000
121597000000,121597000000
121598000000,121598000000
121599000000,121599000000
121600000000,121600000000
121601000000,121601000000
121602000000,121602000000
121603000000,121603000000
121604000000,121604000000
121605000000,121605000000
121606000000,121606000000
121607000000,121607000000
121608000000,121608000000
121609000000,121609000000
121610000000,121610000000
121611000000,121611000000
121612000000,121612000000
121612000000,121613000000
121614000000,121614000000
121615000000,121615000000
121616000000,121616000000
121617000000,121617000000
121618000000,121618000000
121619000000,121619000000
121620000000,121620000000
121621000000,121621000000
121622000000,121622000000
121623000000,121623000000
121624000000,121624000000
121625000000,121625000000
121626000000,121626000000
121627000000,121627000000
121628000000,121628000000
121629000000,121629000000
121630000000,121630000000
121631000000,121631000000
121632000000,121632000000
121633000000,121633000000
121634000000,121634000000
121635000000,121635000000
121636000000,121636000000
121637000000,121637000000
121638000000,121638000000
121639000000,121639000000
121640000000,121640000000
121641000000,121641000000
121642000000,121642000000
121643000000,121643000000
121644000000,121644000000
121645000000,121645000000
121646000000,121646000000
121647000000,121647000000
121648000000,121648000000
121649000000,121649000000
121650000000,121650000000
121651000000,121651000000
121652000000,121652000000
121653000000,121653000000
121654000000,121654000000
121655000000,121655000000
121656000000,121656000000
121657000000,121657000000
121658000000,121658000000
121659000000,121659000000
121660000000,121660000000
121661000000,121661000000
121662000000,121662000000
121663000000,121663000000
121664000000,121664000000
121665000000,121665000000
121666000000,121666000000
121667000000,121667000000
121668000000,121668000000
121669000000,121669000000
121670000000,121670000000
121671000000,121671000000
121672000000,121672000000
121673000000,121673000000
121674000000,121674000000
121675000000,121675000000
121676000000,121676000000
121677000000,121677000000
121678000000,121678000000
121679000000,121679000000
121680000000,121680000000
121681000000,121681000000
121682000000,121682000000
121683000000,121683000000
121684000000,121684000000
121685000000,121685000000
121686000000,121686000000
121687000000,121687000000
121688000000,121688000000
121689000000,121689000000
121690000000,121690000000
121691000000,121691000000
121692000000,121692000000
121692000000,121693000000
121694000000,121694000000
121695000000,121695000000
121696000000,121696000000
121697000000,121697000000
121698000000,121698000000
121699000000,121699000000
121700000000,121700000000
121701000000,121701000000
121702000000,121702000000
121703000000,121703000000
121704000000,121704000000
121705000000,121705000000
121706000000,121706000000
121707000000,121707000000
121708000000,121708000000
121709000000,121709000000
121710000000,121710000000
121711000000,121711000000
121712000000,121712000000
121713000000,121713000000
121714000000,121714000000
121715000000,121715000000
121716000000,121716000000
121717000000,121717000000
121718000000,121718000000
121719000000,121719000000
121720000000,121720000000
121721000000,121721000000
121722000000,121722000000
121723000000,121723000000
121724000000,121724000000
121725000000,121725000000
121726000000,121726000000
121727000000,121727000000
121728000000,121728000000
121729000000,121729000000
121730000000,121730000000
121731000000,121731000000
121732000000,121732000000
121733000000,121733000000
121734000000,121734000000
121735000000,121735000000
121736000000,121736000000
121737000000,121737000000
121738000000,121738000000
121739000000,121739000000
121740000000,121740000000
121741000000,121741000000
121742000000,121742000000
121743000000,121743000000
121744000000,121744000000
121745000000,121745000000
121746000000,121746000000
121747000000,121747000000
121748000000,121748000000
121749000000,121749000000
121750000000,121750000000
121751000000,121751000000
121752000000,121752000000
121753000000,121753000000
121754000000,121754000000
121755000000,121755000000
121756000000,121756000000
121757000000,121757000000
121758000000,121758000000
121759000000,121759000000
121760000000,121760000000
121761000000,121761000000
121762000000,121762000000
121763000000,121763000000
121764000000,121764000000
121765000000,121765000000
121766000000,121766000000
121767000000,121767000000
121767000000,121768000000
121769000000,121769000000
121770000000,121770000000
121771000000,121771000000
121772000000,121772000000
121773000000,121773000000
121774000000,121774000000
121775000000,121775000000
121776000000,121776000000
121777000000,121777000000
121778000000,121778000000
121779000000,121779000000
121780000000,121780000000
121781000000,121781000000
121782000000,121782000000
121783000000,121783000000
121784000000,121784000000
121785000000,121785000000
121786000000,121786000000
121787000000,121787000000
121788000000,121788000000
121789000000,121789000000
121790000000,121790000000
121791000000,121791000000
121792000000,121792000000
121793000000,121793000000
121794000000,121794000000
121795000000,121795000000
121796000000,121796000000
121797000000,121797000000
121798000000,121798000000
121799000000,121799000000
121800000000,121800000000
121801000000,121801000000
121802000000,121802000000
121803000000,121803000000
121804000000,121804000000
121804000000,121805000000
121806000000,121806000000
121807000000,121807000000
121808000000,121808000000
121809000000,121809000000
121810000000,121810000000
121811000000,121811000000
121812000000,121812000000
121813000000,121813000000
121814000000,121814000000
121815000000,121815000000
121816000000,121816000000
121817000000,121817000000
121818000000,121818000000
121819000000,121819000000
121820000000,121820000000
121821000000,121821000000
121822000000,121822000000
121823000000,121823000000
121824000000,121824000000
121825000000,121825000000
121826000000,121826000000
121827000000,121827000000
121828000000,121828000000
121829000000,121829000000
121830000000,121830000000
121831000000,121831000000
121832000000,121832000000
121833000000,121833000000
121834000000,121834000000
121835000000,121835000000
121836000000,121836000000
121837000000,121837000000
121838000000,121838000000
121839000000,121839000000
121840000000,121840000000
121841000000,121841000000
121842000000,121842000000
121843000000,121843000000
121844000000,121844000000
121845000000,121845000000
121846000000,121846000000
121847000000,121847000000
121848000000,121848000000
121849000000,121849000000
121850000000,121850000000
121851000000,121851000000
121852000000,121852000000
121853000000,121853000000
121854000000,121854000000
121855000000,121855000000
121856000000,121856000000
121857000000,121857000000
121858000000,121858000000
121859000000,121859000000
121860000000,121860000000
121861000000,121861000000
121862000000,121862000000
121863000000,121863000000
121864000000,121864000000
121865000000,121865000000
121866000000,121866000000
121867000000,121867000000
121868000000,121868000000
121869000000,121869000000
121870000000,121870000000
121871000000,121871000000
121872000000,121872000000
121873000000,121873000000
121874000000,121874000000
121875000000,121875000000
121876000000,121876000000
121877000000,121877000000
121878000000,121878000000
121879000000,121879000000
121880000000,121880000000
121881000000,121881000000
121882000000,121882000000
121883000000,121883000000
121884000000,121884000000
121885000000,121885000000
121886000000,121886000000
121887000000,121887000000
121888000000,121888000000
121889000000,121889000000
121890000000,121890000000
121891000000,121891000000
121892000000,121892000000
121893000000,121893000000
121894000000,121894000000
121895000000,121895000000
121896000000,121896000000
121897000000,121897000000
121898000000,121898000000
121899000000,121899000000
121900000000,121900000000
121901000000,121901000000
121902000000,121902000000
121903000000,121903000000
121904000000,121904000000
121905000000,121905000000
121906000000,121906000000
121907000000,121907000000
121908000000,121908000000
121909000000,121909000000
121910000000,121910000000
121911000000,121911000000
121912000000,121912000000
121913000000,121913000000
121914000000,121914000000
121915000000,121915000000
121916000000,121916000000
121917000000,121917000000
121918000000,121918000000
121919000000,121919000000
121920000000,121920000000
121921000000,121921000000
121922000000,121922000000
121923000000,121923000000
121924000000,121924000000
121925000000,121925000000
121926000000,121926000000
121927000000,121927000000
121928000000,121928000000
121929000000,121929000000
121930000000,121930000000
121931000000,121931000000
121932000000,121932000000
121933000000,121933000000
121934000000,121934000000
121935000000,121935000000
121936000000,121936000000
121937000000,121937000000
121938000000,121938000000
121939000000,121939000000
121940000000,121940000000
121941000000,121941000000
121942000000,121942000000
121943000000,121943000000
121944000000,121944000000
121945000000,121945000000
121946000000,121946000000
121947000000,121947000000
121948000000,121948000000
121949000000,121949000000
121950000000,121950000000
121951000000,121951000000
121952000000,121952000000
121953000000,121953000000
121954000000,121954000000
121955000000,121955000000
121956000000,121956000000
121957000000,121957000000
121958000000,121958000000
121959000000,121959000000
121960000000,121960000000
121961000000,121961000000
121962000000,121962000000
121963000000,121963000000
121964000000,121964000000
121965000000,121965000000
121966000000,121966000000
121967000000,121967000000
121968000000,121968000000
121969000000,121969000000
121970000000,121970000000
121971000000,121971000000
121972000000,121972000000
121973000000,121973000000
121974000000,121974000000
121975000000,121975000000
121976000000,121976000000
121977000000,121977000000
121978000000,121978000000
121979000000,121979000000
121980000000,121980000000
121981000000,121981000000
121982000000,121982000000
121983000000,121983000000
121984000000,121984000000
121985000000,121985000000
121986000000,121986000000
121987000000,121987000000
121987000000,121988000000
121988000000,121989000000
121990000000,121990000000
121991000000,121991000000
121992000000,121992000000
121993000000,121993000000
121994000000,121994000000
121995000000,121995000000
121996000000,121996000000
121997000000,121997000000
121998000000,121998000000
121999000000,121999000000
122000000000,122000000000
122001000000,122001000000
122002000000,122002000000
122003000000,122003000000
122004000000,122004000000
122005000000,122005000000
122006000000,122006000000
122007000000,122007000000
122008000000,122008000000
122009000000,122009000000
122010000000,122010000000
122011000000,122011000000
122012000000,122012000000
122013000000,122013000000
122014000000,122014000000
122015000000,122015000000
122016000000,122016000000
122017000000,122017000000
122018000000,122018000000
122019000000,122019000000
122020000000,122020000000
122021000000,122021000000
122022000000,122022000000
122023000000,122023000000
122024000000,122024000000
122024000000,122025000000
122026000000,122026000000
122027000000,122027000000
122028000000,122028000000
122029000000,122029000000
122030000000,122030000000
122031000000,122031000000
122032000000,122032000000
122033000000,122033000000
122034000000,122034000000
122035000000,122035000000
122036000000,122036000000
122037000000,122037000000
122038000000,122038000000
122039000000,122039000000
122040000000,122040000000
122041000000,122041000000
122042000000,122042000000
122043000000,122043000000
122044000000,122044000000
122045000000,122045000000
122046000000,122046000000
122047000000,122047000000
122048000000,122048000000
122049000000,122049000000
122050000000,122050000000
122051000000,122051000000
122052000000,122052000000
122053000000,122053000000
122054000000,122054000000
122055000000,122055000000
122056000000,122056000000
122057000000,122057000000
122058000000,122058000000
122059000000,122059000000
122060000000,122060000000
122060000000,122061000000
122062000000,122062000000
122063000000,122063000000
122064000000,122064000000
122065000000,122065000000
122066000000,122066000000
122067000000,122067000000
122068000000,122068000000
122068000000,122069000000
122070000000,122070000000
122071000000,122071000000
122072000000,122072000000
122073000000,122073000000
122074000000,122074000000
122075000000,122075000000
122076000000,122076000000
122077000000,122077000000
122078000000,122078000000
122079000000,122079000000
122080000000,122080000000
122081000000,122081000000
122082000000,122082000000
122083000000,122083000000
122084000000,122084000000
122085000000,122085000000
122085000000,122086000000
122087000000,122087000000
122088000000,122088000000
122089000000,122089000000
122090000000,122090000000
122091000000,122091000000
122092000000,122092000000
122093000000,122093000000
122094000000,122094000000
122095000000,122095000000
122096000000,122096000000
122097000000,122097000000
122098000000,122098000000
122099000000,122099000000
122100000000,122100000000
122101000000,122101000000
122102000000,122102000000
122103000000,122103000000
122104000000,122104000000
122104000000,122105000000
122106000000,122106000000
122107000000,122107000000
122108000000,122108000000
122109000000,122109000000
122110000000,122110000000
122111000000,122111000000
122112000000,122112000000
122113000000,122113000000
122114000000,122114000000
122115000000,122115000000
122116000000,122116000000
122117000000,122117000000
122118000000,122118000000
122119000000,122119000000
122120000000,122120000000
122121000000,122121000000
122122000000,122122000000
122123000000,122123000000
122124000000,122124000000
122125000000,122125000000
122126000000,122126000000
122127000000,122127000000
122128000000,122128000000
122129000000,122129000000
122130000000,122130000000
122131000000,122131000000
122132000000,122132000000
122133000000,122133000000
122134000000,122134000000
122135000000,122135000000
122136000000,122136000000
122137000000,122137000000
122138000000,122138000000
122139000000,122139000000
122140000000,122140000000
122141000000,122141000000
122142000000,122142000000
122143000000,122143000000
122144000000,122144000000
122145000000,122145000000
122146000000,122146000000
122147000000,122147000000
122148000000,122148000000
122149000000,122149000000
122150000000,122150000000
122151000000,122151000000
122152000000,122152000000
122153000000,122153000000
122154000000,122154000000
122155000000,122155000000
122156000000,122156000000
122157000000,122157000000
122158000000,122158000000
122159000000,122159000000
122160000000,122160000000
122161000000,122161000000
122162000000,122162000000
122163000000,122163000000
122164000000,122164000000
122165000000,122165000000
122166000000,122166000000
122167000000,122167000000
122168000000,122168000000
122169000000,122169000000
122170000000,122170000000
122171000000,122171000000
122172000000,122172000000
122173000000,122173000000
122174000000,122174000000
122175000000,122175000000
122176000000,122176000000
122177000000,122177000000
122178000000,122178000000
122179000000,122179000000
122180000000,122180000000
122181000000,122181000000
122182000000,122182000000
122183000000,122183000000
122184000000,122184000000
122185000000,122185000000
122186000000,122186000000
122187000000,122187000000
122188000000,122188000000
122189000000,122189000000
122190000000,122190000000
122191000000,122191000000
122192000000,122192000000
122193000000,122193000000
122194000000,122194000000
122195000000,122195000000
122196000000,122196000000
122197000000,122197000000
122198000000,122198000000
122199000000,122199000000
122200000000,122200000000
122200000000,122201000000
122202000000,122202000000
122203000000,122203000000
122204000000,122204000000
122205000000,122205000000
122206000000,122206000000
122207000000,122207000000
122208000000,122208000000
122209000000,122209000000
122210000000,122210000000
122211000000,122211000000
122212000000,122212000000
122213000000,122213000000
122214000000,122214000000
122215000000,122215000000
122216000000,122216000000
122217000000,122217000000
122218000000,122218000000
122219000000,122219000000
122220000000,122220000000
122221000000,122221000000
122222000000,122222000000
122223000000,122223000000
122224000000,122224000000
122225000000,122225000000
122226000000,122226000000
122227000000,122227000000
122228000000,122228000000
122229000000,122229000000
122230000000,122230000000
122231000000,122231000000
122232000000,122232000000
122233000000,122233000000
122234000000,122234000000
122235000000,122235000000
122236000000,122236000000
122237000000,122237000000
122238000000,122238000000
122239000000,122239000000
122240000000,122240000000
122241000000,122241000000
122242000000,122242000000
122243000000,122243000000
122244000000,122244000000
122245000000,122245000000
122246000000,122246000000
122247000000,122247000000
122248000000,122248000000
