%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
121378000000,12121,121378000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121387000000,12122,121387000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121397000000,12123,121397000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121407000000,12124,121407000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121417000000,12125,121417000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121427000000,12126,121427000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121437000000,12127,121437000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121447000000,12128,121447000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121457000000,12129,121457000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121467000000,12130,121467000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121477000000,12131,121477000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121487000000,12132,121487000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121497000000,12133,121497000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121507000000,12134,121507000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121517000000,12135,121517000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121528000000,12136,121528000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121537000000,12137,121537000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121547000000,12138,121547000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121557000000,12139,121557000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121567000000,12140,121567000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121577000000,12141,121577000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121587000000,12142,121587000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121597000000,12143,121597000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121607000000,12144,121607000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121617000000,12145,121617000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121627000000,12146,121627000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121637000000,12147,121637000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121647000000,12148,121647000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121658000000,12149,121658000000,,0,0,-0.38,0.86,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
