%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
121376000000,12121,121376000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121386000000,12122,121386000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121396000000,12123,121396000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121406000000,12124,121406000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121416000000,12125,121416000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121426000000,12126,121426000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121436000000,12127,121436000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121446000000,12128,121446000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121456000000,12129,121456000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121466000000,12130,121466000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121476000000,12131,121476000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121487000000,12132,121486000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121496000000,12133,121496000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121506000000,12134,121506000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121516000000,12135,121516000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121526000000,12136,121526000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121536000000,12137,121536000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121546000000,12138,121546000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121556000000,12139,121556000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121566000000,12140,121566000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121576000000,12141,121576000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121586000000,12142,121586000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121596000000,12143,121596000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121606000000,12144,121606000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121616000000,12145,121616000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121626000000,12146,121626000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121636000000,12147,121636000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121646000000,12148,121646000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121657000000,12149,121657000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121666000000,12150,121666000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121676000000,12151,121676000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121686000000,12152,121686000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121696000000,12153,121696000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121706000000,12154,121706000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121716000000,12155,121716000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121726000000,12156,121726000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121736000000,12157,121736000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121746000000,12158,121746000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121756000000,12159,121756000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121766000000,12160,121766000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121776000000,12161,121776000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121786000000,12162,121786000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121796000000,12163,121796000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121807000000,12164,121807000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121816000000,12165,121816000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121826000000,12166,121826000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121836000000,12167,121836000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121846000000,12168,121846000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121856000000,12169,121856000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121866000000,12170,121866000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121876000000,12171,121876000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121886000000,12172,121886000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121896000000,12173,121896000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121906000000,12174,121906000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121916000000,12175,121916000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121926000000,12176,121926000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121936000000,12177,121936000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
