%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
121376000000,12121,121376000000,,0.0,0.0,0.0,0.0,0.0
121386000000,12122,121386000000,,0.0,0.0,0.0,0.0,0.0
121396000000,12123,121396000000,,0.0,0.0,0.0,0.0,0.0
121406000000,12124,121406000000,,0.0,0.0,0.0,0.0,0.0
121416000000,12125,121416000000,,0.0,0.0,0.0,0.0,0.0
121426000000,12126,121426000000,,0.0,0.0,0.0,0.0,0.0
121436000000,12127,121436000000,,0.0,0.0,0.0,0.0,0.0
121446000000,12128,121446000000,,0.0,0.0,0.0,0.0,0.0
121456000000,12129,121456000000,,0.0,0.0,0.0,0.0,0.0
121466000000,12130,121466000000,,0.0,0.0,0.0,0.0,0.0
121476000000,12131,121476000000,,0.0,0.0,0.0,0.0,0.0
121487000000,12132,121487000000,,0.0,0.0,0.0,0.0,0.0
121496000000,12133,121496000000,,0.0,0.0,0.0,0.0,0.0
121507000000,12134,121507000000,,0.0,0.0,0.0,0.0,0.0
121516000000,12135,121516000000,,0.0,0.0,0.0,0.0,0.0
121526000000,12136,121526000000,,0.0,0.0,0.0,0.0,0.0
121536000000,12137,121536000000,,0.0,0.0,0.0,0.0,0.0
121546000000,12138,121546000000,,0.0,0.0,0.0,0.0,0.0
121556000000,12139,121556000000,,0.0,0.0,0.0,0.0,0.0
121566000000,12140,121566000000,,0.0,0.0,0.0,0.0,0.0
121576000000,12141,121576000000,,0.0,0.0,0.0,0.0,0.0
121586000000,12142,121586000000,,0.0,0.0,0.0,0.0,0.0
121596000000,12143,121596000000,,0.0,0.0,0.0,0.0,0.0
121606000000,12144,121606000000,,0.0,0.0,0.0,0.0,0.0
121616000000,12145,121616000000,,0.0,0.0,0.0,0.0,0.0
121626000000,12146,121626000000,,0.0,0.0,0.0,0.0,0.0
121636000000,12147,121636000000,,0.0,0.0,0.0,0.0,0.0
121646000000,12148,121646000000,,0.0,0.0,0.0,0.0,0.0
121656000000,12149,121656000000,,0.0,0.0,0.0,0.0,0.0
121666000000,12150,121666000000,,0.0,0.0,0.0,0.0,0.0
121676000000,12151,121676000000,,0.0,0.0,0.0,0.0,0.0
121686000000,12152,121686000000,,0.0,0.0,0.0,0.0,0.0
121696000000,12153,121696000000,,0.0,0.0,0.0,0.0,0.0
121706000000,12154,121706000000,,0.0,0.0,0.0,0.0,0.0
121716000000,12155,121716000000,,0.0,0.0,0.0,0.0,0.0
121726000000,12156,121726000000,,0.0,0.0,0.0,0.0,0.0
121737000000,12157,121737000000,,0.0,0.0,0.0,0.0,0.0
121746000000,12158,121746000000,,0.0,0.0,0.0,0.0,0.0
121756000000,12159,121756000000,,0.0,0.0,0.0,0.0,0.0
121766000000,12160,121766000000,,0.0,0.0,0.0,0.0,0.0
121776000000,12161,121776000000,,0.0,0.0,0.0,0.0,0.0
121786000000,12162,121786000000,,0.0,0.0,0.0,0.0,0.0
121796000000,12163,121796000000,,0.0,0.0,0.0,0.0,0.0
121806000000,12164,121806000000,,0.0,0.0,0.0,0.0,0.0
121816000000,12165,121816000000,,0.0,0.0,0.0,0.0,0.0
121826000000,12166,121826000000,,0.0,0.0,0.0,0.0,0.0
121836000000,12167,121836000000,,0.0,0.0,0.0,0.0,0.0
121846000000,12168,121846000000,,0.0,0.0,0.0,0.0,0.0
121856000000,12169,121856000000,,0.0,0.0,0.0,0.0,0.0
121866000000,12170,121866000000,,0.0,0.0,0.0,0.0,0.0
121876000000,12171,121876000000,,0.0,0.0,0.0,0.0,0.0
